1,123,2023-01-15,deposit,1000.00
2,123,2023-02-03,withdraw,500.00
3,123,2023-03-10,withdraw,750.00
4,123,2023-04-22,deposit,2000.00
5,123,2023-05-08,withdraw,300.00
6,1239,2023-06-17,deposit,1500.00
7,123,2023-07-01,withdraw,800.00
8,123,2023-07-09,deposit,1200.00
9,123,2023-07-12,deposit,9000.00
10,123,2023-07-22,withdraw,600.00
11,987,2023-01-05,deposit,2500.00
12,987,2023-02-11,withdraw,1000.00
13,987,2023-03-22,deposit,5000.00
14,987,2023-04-14,withdraw,750.00
15,987,2023-05-29,withdraw,1200.00
16,987,2023-06-08,deposit,3000.00
17,987,2023-07-01,withdraw,500.00
18,987,2023-07-14,deposit,2000.00
19,987,2023-07-25,deposit,1500.00
20,987,2023-07-30,withdraw,900.00
21,555,2023-01-18,deposit,5000.00
22,555,2023-02-06,withdraw,2000.00
23,555,2023-03-14,deposit,1000.00
24,555,2023-04-30,withdraw,1500.00
25,555,2023-05-19,deposit,2500.00
26,555,2023-06-26,withdraw,500.00
27,555,2023-07-02,deposit,3000.00
28,555,2023-07-11,withdraw,750.00
29,555,2023-07-21,deposit,2000.00
30,5555,2023-07-28,withdraw,1000.00
